cik,primarysymbol,companyname,industry,sector,siccode,websiteurl,lastannualtotalassets,lastannualrevenue,lastannualnetincome,lastannualeps,totalsharesoutstandingdate
100885,UNP,UNION PACIFIC CORP,Ground Freight & Logistics,Industrials,4011,http://www.up.com,55718000000,19941000000,4233000000,5.07,4/21/2017 0:00
318154,AMGN,AMGEN INC,Biotechnology & Medical Research,Healthcare,2836,http://www.amgen.com/,77626000000,22991000000,7722000000,10.24,4/18/2017 0:00
36104,USB,US BANCORP \DE\,Banks,Financials,6021,http://www.usbank.com,4.45964E+11,0,5888000000,3.24,4/30/2017 0:00
791519,SPLS,STAPLES INC,Other Specialty Retailers,Consumer Cyclicals,5940,www.staples.com,8271000000,18247000000,-1497000000,-2.31,5/14/2017 0:00
313616,DHR,DANAHER CORP /DE/,Advanced Medical Equipment & Technology,Healthcare,3823,www.danaher.com,45295300000,16882400000,2553700000,3.65,4/14/2017 0:00
106640,WHR,WHIRLPOOL CORP /DE/,"Appliances, Tools & Housewares",Consumer Cyclicals,3630,http://www.whirlpoolcorp.com,19153000000,20718000000,888000000,11.5,4/21/2017 0:00
4977,AFL,AFLAC INC,Life & Health Insurance,Financials,6321,http://www.aflac.com/,1.29819E+11,22559000000,2659000000,6.42,4/25/2017 0:00
350698,AN,"AUTONATION, INC.","Auto Vehicles, Parts & Service Retailers",Consumer Cyclicals,5500,http://www.autonation.com,10060000000,21609000000,430500000,4.15,4/21/2017 0:00
80661,PGR,PROGRESSIVE CORP/OH/,Property & Casualty Insurance,Financials,6331,http://www.progressive.com/,33427500000,23439800000,1031000000,1.76,3/31/2017 0:00
1800,ABT,ABBOTT LABORATORIES,Pharmaceuticals,Healthcare,2834,http://www.abbott.com/,52666000000,20853000000,1400000000,0.94,3/31/2017 0:00
29534,DG,DOLLAR GENERAL CORP,Discount Stores,Consumer Cyclicals,5331,www.dollargeneral.com,11672298000,21986598000,1251133000,4.43,3/17/2017 0:00
70318,THC,TENET HEALTHCARE CORP,Healthcare Facilities & Services,Healthcare,8062,http://www.tenethealth.com,24701000000,19621000000,-192000000,-1.93,4/26/2017 0:00
59478,LLY,LILLY ELI & CO,Pharmaceuticals,Healthcare,2834,http://www.lilly.com,38805900000,21222100000,2737600000,2.58,4/24/2017 0:00
92380,LUV,SOUTHWEST AIRLINES CO,Airlines,Industrials,4512,http://www.southwest.com,23286000000,20425000000,2244000000,3.55,5/1/2017 0:00
1019849,PAG,"PENSKE AUTOMOTIVE GROUP, INC.","Auto Vehicles, Parts & Service Retailers",Consumer Cyclicals,5500,www.unitedauto.com,8861100000,20118500000,342900000,3.99,4/21/2017 0:00
871763,MAN,MANPOWERGROUP INC.,Employment Services,Industrials,7363,www.manpower.com,7574200000,19654100000,443700000,6.27,5/3/2017 0:00
885639,KSS,KOHLS CORP,Department Stores,Consumer Cyclicals,5311,http://www.kohls.com,13574000000,18686000000,556000000,3.11,3/8/2017 0:00
829224,SBUX,STARBUCKS CORP,Restaurants & Bars,Consumer Cyclicals,5810,http://www.starbucks.com,14329500000,21315900000,2817700000,1.9,4/26/2017 0:00
75362,PCAR,PACCAR INC,Heavy Machinery & Vehicles,Industrials,3711,http://www.paccar.com/,20638900000,16607100000,521700000,1.48,4/30/2017 0:00
26172,CMI,CUMMINS INC,"Auto, Truck & Motorcycle Parts",Consumer Cyclicals,3510,http://www.cummins.com,15011000000,17509000000,1394000000,8.23,4/2/2017 0:00
764180,MO,"ALTRIA GROUP, INC.",Tobacco,Consumer Non-Cyclicals,2111,http://www.altria.com/,45932000000,25744000000,14239000000,7.28,4/24/2017 0:00
108772,XRX,XEROX CORP,Business Support Services,Industrials,7389,http://www.xerox.com,16889000000,10771000000,-477000000,-0.49,3/31/2017 0:00
55785,KMB,KIMBERLY CLARK CORP,Personal Products,Consumer Non-Cyclicals,2670,http://www.kimberly-clark.com,14602000000,18202000000,2166000000,5.99,4/17/2017 0:00
874766,HIG,HARTFORD FINANCIAL SERVICES GROUP INC/DE,Multiline Insurance & Brokers,Financials,6331,www.thehartford.com,2.23432E+11,18300000000,896000000,2.27,4/25/2017 0:00
1637459,KHC,KRAFT HEINZ CO,Food Processing,Consumer Non-Cyclicals,2030,,1.2048E+11,26487000000,3632000000,2.81,4/29/2017 0:00
842162,LEA,LEAR CORP,"Auto, Truck & Motorcycle Parts",Consumer Cyclicals,3714,www.lear.com,9900600000,18557600000,975100000,13.33,4/21/2017 0:00
1124198,FLR,FLUOR CORP,Construction & Engineering,Industrials,1600,www.fluor.com,9216417000,19036525000,281401000,2,4/28/2017 0:00
868857,ACM,AECOM,Construction & Engineering,Industrials,8711,www.aecom.com,13726745000,17410825000,96109000,0.62,5/2/2017 0:00
1326801,FB,FACEBOOK INC,Internet Services,Technology,7370,www.facebook.com,64961000000,27638000000,10188000000,3.49,5/1/2017 0:00
898293,JBL,JABIL CIRCUIT INC,Semiconductors,Technology,3672,www.jabil.com,10322677000,18353086000,254095000,1.32,3/27/2017 0:00
18926,CTL,"CENTURYLINK, INC",Integrated Telecommunications Services,Telecommunication Services,4813,www.centurytel.com,47017000000,17470000000,626000000,1.16,4/27/2017 0:00
95521,SVU,SUPERVALU INC,Food Retail & Distribution,Consumer Non-Cyclicals,5141,www.supervalu.com,3580000000,12480000000,650000000,2.43,4/21/2017 0:00
40704,GIS,GENERAL MILLS INC,Food Processing,Consumer Non-Cyclicals,2040,www.generalmills.com,21712300000,16563100000,1697400000,2.77,3/14/2017 0:00
92122,SO,SOUTHERN CO,Electric Utilities,Utilities,4911,http://www.southerncompany.com/,1.09697E+11,19896000000,2493000000,2.55,3/31/2017 0:00
753308,NEE,NEXTERA ENERGY INC,Electric Utilities,Utilities,4911,www.fplgroup.com,89993000000,16155000000,2912000000,6.25,3/31/2017 0:00
97745,TMO,THERMO FISHER SCIENTIFIC INC.,Advanced Medical Equipment & Technology,Healthcare,3829,www.thermo.com,45907500000,18274100000,2021800000,5.1,4/1/2017 0:00
4904,AEP,AMERICAN ELECTRIC POWER CO INC,Electric Utilities,Utilities,4911,www.aep.com,63467700000,16380100000,610900000,1.24,4/27/2017 0:00
1004980,PCG,PG&E CORP,Electric Utilities,Utilities,4931,www.pgecorp.com,68598000000,17666000000,1407000000,2.78,4/24/2017 0:00
1504461,NGL,NGL ENERGY PARTNERS LP,Oil & Gas Refining and Marketing,Energy,5172,www.nglenergypartners.com,5560155000,11742110000,-198929000,-2.35,2/6/2017 0:00
14272,BMY,BRISTOL MYERS SQUIBB CO,Pharmaceuticals,Healthcare,2834,http://www.bms.com/,33707000000,19427000000,4457000000,2.65,3/31/2017 0:00
1398659,G,GENPACT LTD,Business Support Services,Industrials,8742,www.genpact.com,2885880000,2570756000,269684000,1.28,4/28/2017 0:00
73309,NUE,NUCOR CORP,Steel,Basic Materials,3312,http://www.nucor.com/,15223518000,16208122000,796271000,2.48,4/1/2017 0:00
713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC.",Banks,Financials,6021,www.pncbank.com,3.6638E+11,0,3903000000,7.3,4/21/2017 0:00
723125,MU,MICRON TECHNOLOGY INC,Semiconductors,Technology,3674,http://www.micron.com,27540000000,12399000000,-276000000,-0.27,3/21/2017 0:00
21665,CL,COLGATE PALMOLIVE CO,Personal Products,Consumer Non-Cyclicals,2844,http://www.colgate.com,12123000000,15195000000,2441000000,2.72,3/31/2017 0:00
